"wnum"	"word"	"fnum"
"349"	"果"	"510"
"350"	"果"	"514"
"351"	"果"	"521"
"352"	"果"	"523"
"353"	"果"	"524"
"354"	"果"	"527"
"355"	"果"	"532"
"356"	"果"	"533"
"357"	"果"	"538"
"358"	"果"	"543"
"359"	"果"	"549"
"360"	"果"	"551"
"361"	"果"	"553"
"362"	"果"	"554"
"363"	"果"	"557"
"364"	"果"	"560"
"365"	"果"	"564"
"366"	"果"	"568"
"367"	"果"	"798"
"368"	"果"	"888"
"369"	"果"	"897"
"370"	"果"	"898"
"371"	"果"	"1016"
"372"	"果"	"1110"
"373"	"果味"	"932"
"374"	"果子"	"566"
"375"	"果子"	"1129"
"376"	"果子"	"1132"
"377"	"枝"	"454"
"378"	"枝"	"629"
"379"	"枞"	"607"
"380"	"枞"	"608"
"381"	"枸杞"	"106"
"382"	"柚"	"1065"
"383"	"柠"	"538"
"384"	"柠"	"841"
"385"	"柠"	"1023"
"386"	"柳"	"417"
"387"	"柿"	"1066"
"388"	"栀子"	"1113"
"389"	"树"	"522"
"390"	"树"	"605"
"391"	"树花"	"658"
"392"	"核桃"	"436"
"393"	"核桃仁"	"436"
"394"	"根"	"596"
"395"	"桂鱼"	"166"
"396"	"桃"	"495"
"397"	"桃"	"897"
"398"	"桃"	"1062"
"399"	"桃"	"1062"
"400"	"桃仁"	"436"
"401"	"桃李"	"866"
"402"	"桑"	"865"
"403"	"桑"	"865"
"404"	"桑"	"927"
"405"	"桲"	"553"
"406"	"梅"	"71"
"407"	"梅"	"524"
"408"	"梅"	"805"
"409"	"梅"	"1027"
"410"	"梅子"	"962"
"411"	"梦"	"1068"
"412"	"梨"	"561"
"413"	"梨子"	"528"
"414"	"棉"	"613"
"415"	"棒"	"401"
"416"	"棒"	"819"
"417"	"棒"	"868"
"418"	"棱"	"575"
"419"	"椒"	"327"
"420"	"椒盐"	"300"
"421"	"椰"	"817"
"422"	"椰"	"1029"
"423"	"椰"	"1034"
"424"	"椰"	"1089"
"425"	"椰"	"1089"
"426"	"椰"	"1113"
"427"	"楸子"	"515"
"428"	"榅"	"553"
"429"	"榛"	"798"
"430"	"榛"	"1110"
"431"	"橄榄"	"755"
"432"	"橄榄油"	"755"
"433"	"橙皮"	"931"
"434"	"比目"	"159"
"435"	"比目"	"213"
"436"	"比目鱼"	"159"
"437"	"比目鱼"	"213"
"438"	"毛豆"	"718"
"439"	"水"	"165"
"440"	"水"	"381"
"441"	"水"	"837"
"442"	"水晶"	"574"
"443"	"水泽"	"674"
"444"	"水牛"	"221"
"445"	"水蜜桃"	"1046"
"446"	"永和"	"736"
"447"	"汁"	"780"
"448"	"汁儿"	"863"
"449"	"汉"	"532"
"450"	"汉"	"600"
"451"	"汤"	"387"
"452"	"汤"	"390"
"453"	"汤锅"	"709"
"454"	"汤饭"	"106"
"455"	"沁园春"	"1034"
"456"	"沙"	"977"
"457"	"沙拉"	"786"
"458"	"沙拉酱"	"786"
"459"	"河"	"188"
"460"	"油"	"45"
"461"	"油"	"112"
"462"	"油"	"260"
"463"	"油"	"261"
"464"	"油"	"688"
"465"	"油"	"700"
"466"	"油"	"741"
"467"	"油"	"748"
"468"	"油"	"758"
"469"	"油"	"761"
"470"	"油"	"764"
"471"	"油"	"768"
"472"	"油"	"772"
"473"	"油"	"780"
"474"	"油"	"789"
"475"	"油"	"798"
"476"	"油"	"813"
"477"	"油"	"861"
"478"	"油"	"861"
"479"	"油"	"874"
"480"	"油炒"	"81"
"481"	"油菜"	"727"
"482"	"油鸡"	"331"
"483"	"法"	"868"
"484"	"泡"	"496"
"485"	"泡饭"	"106"
"486"	"泼"	"112"
"487"	"泼辣"	"813"
"488"	"浆水"	"809"
"489"	"浮生"	"873"
"490"	"海"	"539"
"491"	"海瓜子"	"144"
"492"	"海菜"	"599"
"493"	"海鲜"	"570"
"494"	"液体"	"249"
"495"	"淮南"	"358"
"496"	"混合"	"898"
"497"	"清明"	"568"
"498"	"清明"	"568"
"499"	"清明"	"568"
"500"	"清炒"	"703"
"501"	"清真"	"98"
"502"	"湿"	"480"
"503"	"滑"	"720"
"504"	"滑子菇"	"604"
"505"	"漆"	"1063"
"506"	"漏"	"945"
"507"	"潺"	"165"
"508"	"瀑布"	"172"
"509"	"火锅"	"359"
"510"	"火龙"	"518"
"511"	"火龙果"	"518"
"512"	"灭火"	"975"
"513"	"灯笼"	"503"
"514"	"灰"	"658"
"515"	"炒"	"41"
"516"	"炒"	"366"
"517"	"炒"	"683"
"518"	"炒"	"732"
"519"	"炒"	"733"
"520"	"炒年糕"	"1020"
"521"	"炒菜"	"703"
"522"	"炒菜"	"720"
"523"	"炒青"	"744"
"524"	"炒青菜"	"744"
"525"	"炒面"	"81"
"526"	"炒饭"	"66"
"527"	"炒鸡蛋"	"718"
"528"	"炒鸡蛋"	"723"
"529"	"炖"	"276"
"530"	"炖"	"688"
"531"	"炖牛肉"	"277"
"532"	"炖鸡"	"399"
"533"	"炖鸡汤"	"399"
"534"	"炸"	"920"
"535"	"炸鸡"	"296"
"536"	"炸鸡"	"330"
"537"	"炸鸡块"	"330"
"538"	"烈酒"	"931"
"539"	"烛"	"554"
"540"	"烟火"	"1084"
"541"	"烤"	"321"
"542"	"烤"	"369"
"543"	"烧"	"726"
"544"	"烧"	"1132"
"545"	"烧茄子"	"700"
"546"	"烧茄子"	"700"
"547"	"烧酒"	"839"
"548"	"烧鸡"	"316"
"549"	"烩"	"698"
"550"	"热油"	"279"
"551"	"焖"	"413"
"552"	"煎"	"1058"
"553"	"煎蛋"	"394"
"554"	"煎鱼"	"282"
"555"	"煮"	"381"
"556"	"煮"	"1022"
"557"	"熏"	"293"
"558"	"燕尾"	"612"
"559"	"爆"	"1023"
"560"	"爪"	"244"
"561"	"片"	"146"
"562"	"片"	"475"
"563"	"牌"	"1025"
"564"	"牙牙"	"1141"
"565"	"牛"	"350"
"566"	"牛乳"	"1010"
"567"	"牛乳"	"1137"
"568"	"牛排"	"601"
"569"	"牛油"	"1057"
"570"	"牛油果"	"1057"
"571"	"牛肉"	"30"
"572"	"牛肉"	"58"
"573"	"牛肉"	"66"
"574"	"牛肉"	"88"
"575"	"牛肉"	"98"
"576"	"牛肉"	"115"
"577"	"牛肉"	"209"
"578"	"牛肉"	"277"
"579"	"牛肉"	"281"
"580"	"牛肉"	"287"
"581"	"牛肉"	"318"
"582"	"牛肉"	"327"
"583"	"牛肉"	"358"
"584"	"牛肉"	"359"
"585"	"牛肉"	"400"
"586"	"牛肉丸"	"359"
"587"	"牛肉汤"	"88"
"588"	"牛肉汤"	"358"
"589"	"牛腩"	"251"
"590"	"狭"	"229"
"591"	"猛"	"870"
"592"	"猪肚"	"619"
"593"	"猪脚"	"247"
"594"	"玄"	"1078"
"595"	"玄"	"1079"
"596"	"玉"	"450"
"597"	"玉"	"660"
"598"	"玉米"	"787"
"599"	"王"	"948"
"600"	"玛"	"985"
"601"	"玫"	"956"
"602"	"玫"	"1068"
"603"	"玫瑰"	"331"
"604"	"珊瑚"	"625"
"605"	"珑"	"956"
"606"	"珑"	"1068"
"607"	"班"	"157"
"608"	"球"	"1130"
"609"	"瑞"	"1110"
"610"	"瓜"	"520"
"611"	"瓜子"	"144"
"612"	"瓢儿"	"557"
"613"	"瓢儿"	"633"
"614"	"瓦罐"	"390"
"615"	"瓦罐"	"628"
"616"	"甘"	"178"
"617"	"甘"	"564"
"618"	"甘"	"1032"
"619"	"甘薯"	"28"
"620"	"甜菜"	"649"
"621"	"生"	"479"
"622"	"生"	"611"
"623"	"生"	"817"
"624"	"生"	"1029"
"625"	"生"	"1034"
"626"	"生"	"1113"
"627"	"生子"	"556"
"628"	"生油"	"762"
"629"	"生油"	"767"
"630"	"用"	"1035"
"631"	"田园"	"939"
"632"	"番茄"	"278"
"633"	"番茄"	"542"
"634"	"番茄"	"550"
"635"	"番茄"	"938"
"636"	"病"	"98"
"637"	"白"	"150"
"638"	"白"	"768"
"639"	"白玉"	"681"
"640"	"白米"	"139"
"641"	"白菜"	"583"
"642"	"白鱼"	"142"
"643"	"白鲢"	"140"
"644"	"白鲢"	"196"
"645"	"百"	"32"
"646"	"百"	"475"
"647"	"百道"	"815"
"648"	"百道"	"1062"
"649"	"百道"	"1063"
"650"	"百页"	"492"
"651"	"皖"	"154"
"652"	"皮"	"102"
"653"	"皮"	"480"
"654"	"皮"	"860"
"655"	"皮"	"870"
"656"	"盖"	"237"
"657"	"目"	"968"
"658"	"目鱼"	"159"
"659"	"目鱼"	"213"
"660"	"石头"	"632"
"661"	"石鱼"	"235"
"662"	"硬"	"11"
"663"	"碎银"	"948"
"664"	"碎银"	"948"
"665"	"碳酸"	"932"
"666"	"秋葵"	"640"
"667"	"秋葵"	"641"
"668"	"种"	"667"
"669"	"稀"	"61"
"670"	"稀饭"	"55"
"671"	"稀饭"	"133"
"672"	"稻米"	"1"
"673"	"稻草"	"576"
"674"	"竹"	"426"
"675"	"竹"	"676"
"676"	"竹叶"	"664"
"677"	"竹叶"	"665"
"678"	"笋"	"635"
"679"	"笋"	"695"
"680"	"笔管"	"147"
"681"	"笙"	"676"
"682"	"筛"	"968"
"683"	"箕"	"584"
"684"	"米"	"5"
"685"	"米"	"11"
"686"	"米"	"16"
"687"	"米"	"21"
"688"	"米"	"42"
"689"	"米"	"51"
"690"	"米"	"61"
"691"	"米"	"74"
"692"	"米"	"75"
"693"	"米"	"102"
"694"	"米"	"109"
"695"	"米"	"540"
"696"	"米"	"628"
"697"	"米"	"718"
"698"	"米"	"842"
"699"	"米"	"843"
"700"	"米"	"968"
"701"	"米"	"1078"
"702"	"米"	"1079"
"703"	"米"	"1122"
"704"	"米糠"	"15"
"705"	"米苏"	"1035"
"706"	"米苏"	"1052"
"707"	"米面"	"1073"
"708"	"米饭"	"50"
"709"	"籼米"	"103"
"710"	"籽"	"419"
"711"	"籽"	"764"
"712"	"籽"	"797"
"713"	"粉"	"29"
"714"	"粉"	"88"
"715"	"粉"	"115"
"716"	"粉"	"1140"
"717"	"粑"	"614"
"718"	"粒"	"898"
"719"	"粗粮"	"120"
"720"	"粟米"	"758"
"721"	"粥"	"65"
"722"	"粥"	"101"
"723"	"粥"	"116"
"724"	"粥"	"120"
"725"	"粿"	"568"
"726"	"粿"	"834"
"727"	"糊"	"51"
"728"	"糊"	"260"
"729"	"糊"	"1122"
"730"	"糕"	"1101"
"731"	"糖"	"949"
"732"	"糯"	"858"
"733"	"糯"	"858"
"734"	"糯"	"1024"
"735"	"糯"	"1024"
"736"	"糯"	"1083"
"737"	"糯"	"1083"
"738"	"糯"	"1104"
"739"	"糯"	"1104"
"740"	"糯米"	"27"
"741"	"索"	"677"
"742"	"紫"	"29"
"743"	"紫"	"50"
"744"	"紫"	"129"
"745"	"紫"	"130"
"746"	"紫"	"133"
"747"	"紫"	"584"
"748"	"紫"	"1073"
"749"	"紫"	"1122"
"750"	"紫"	"1125"
"751"	"紫"	"1129"
"752"	"紫"	"1131"
"753"	"紫"	"1136"
"754"	"紫"	"1137"
"755"	"紫"	"1139"
"756"	"紫"	"1140"
"757"	"紫色"	"28"
"758"	"紫菜"	"100"
"759"	"紫菜"	"615"
"760"	"红"	"5"
"761"	"红"	"21"
"762"	"红"	"171"
"763"	"红"	"548"
"764"	"红"	"631"
"765"	"红"	"638"
"766"	"红"	"659"
"767"	"红"	"678"
"768"	"红娘"	"170"
"769"	"红果"	"566"
"770"	"红油"	"290"
"771"	"红油"	"779"
"772"	"红糖"	"890"
"773"	"红糖"	"890"
"774"	"红糖"	"890"
"775"	"红艳"	"815"
"776"	"红艳艳"	"815"
"777"	"红茶"	"887"
"778"	"红茶"	"1025"
"779"	"红衫"	"190"
"780"	"红豆"	"888"
"781"	"纯"	"948"
"782"	"纯"	"1010"
"783"	"纯"	"1061"
"784"	"纯金"	"948"
"785"	"细"	"577"
"786"	"绍兴"	"895"
"787"	"绍兴酒"	"895"
"788"	"续断"	"449"
"789"	"绿"	"615"
"790"	"绿"	"948"
"791"	"绿肥"	"950"
"792"	"绿肥红瘦"	"950"
"793"	"绿茶"	"948"
"794"	"绿豆"	"949"
"795"	"罗"	"533"
"796"	"罩"	"98"
"797"	"羊"	"447"
"798"	"羊奶"	"510"
"799"	"翅"	"59"
"800"	"翅"	"321"
"801"	"翼"	"180"
"802"	"耳"	"639"
"803"	"联"	"909"
"804"	"联"	"909"
"805"	"联"	"909"
"806"	"肉"	"154"
"807"	"肉"	"249"
"808"	"肉"	"366"
"809"	"肉"	"865"
"810"	"肉"	"866"
"811"	"肉丝"	"740"
"812"	"肉丸"	"359"
"813"	"肉丸子"	"359"
"814"	"肉包"	"71"
"815"	"肉汤"	"88"
"816"	"肉汤"	"358"
"817"	"肉片"	"745"
"818"	"肠"	"369"
"819"	"股"	"226"
"820"	"肥牛"	"163"
"821"	"肥牛"	"207"
"822"	"胖头"	"174"
"823"	"胖头"	"238"
"824"	"胖头鱼"	"174"
"825"	"胖头鱼"	"238"
"826"	"胚芽"	"787"
"827"	"胚芽油"	"787"
"828"	"胡子"	"205"
"829"	"胡椒"	"58"
"830"	"胡豆"	"434"
"831"	"脆"	"154"
"832"	"脯"	"715"
"833"	"脱"	"768"
"834"	"脱皮"	"216"
"835"	"腊肠"	"397"
"836"	"腰果"	"469"
"837"	"腾"	"549"
"838"	"腿肉"	"184"
"839"	"舌"	"874"
